time,rssi,isTag
1641967162.19096,-68,True
1641967162.2948177,-72,True
1641967162.4006948,-71,True
1641967162.5070717,-70,True
1641967162.6144552,-78,True
1641967162.722517,-69,True
1641967162.82976,-67,True
1641967162.939479,-68,True
1641967163.0437555,-73,True
1641967163.1497054,-70,True
1641967163.2573543,-69,True
1641967163.3634605,-69,True
1641967163.4714434,-68,True
1641967163.5771766,-66,True
1641967163.6852467,-74,True
1641967163.793895,-75,True
1641967163.899758,-66,True
1641967164.0063045,-73,True
1641967164.112339,-67,True
1641967164.2163286,-74,True
1641967164.3247883,-65,True
1641967164.7526734,-72,True
1641967164.8623056,-67,True
1641967164.9703577,-74,True
1641967165.0760658,-66,True
1641967165.180377,-72,True
1641967165.2886295,-67,True
1641967165.3941472,-73,True
1641967165.5013819,-71,True
1641967165.6067357,-72,True
1641967165.7164364,-72,True
1641967165.824957,-66,True
1641967165.9316928,-72,True
1641967166.0374188,-66,True
1641967166.2474349,-66,True
1641967166.3519454,-69,True
1641967166.457328,-69,True
1641967166.5617168,-70,True
1641967166.6702833,-70,True
1641967166.778125,-66,True
1641967166.8853128,-69,True
1641967166.993666,-70,True
1641967167.3143015,-67,True
1641967167.5254745,-66,True
1641967167.6303077,-70,True
1641967167.741285,-69,True
1641967167.845269,-69,True
1641967167.951301,-70,True
1641967168.0553207,-71,True
1641967168.2731047,-68,True
1641967168.3814561,-70,True
1641967168.4867864,-70,True
1641967168.5940216,-70,True
1641967168.7012367,-70,True
1641967168.8052819,-70,True
1641967168.9112983,-69,True
1641967169.015253,-72,True
1641967169.1212773,-70,True
1641967173.2926073,-69,True
1641967173.3966243,-71,True
1641967173.5038326,-68,True
1641967173.6133587,-71,True
1641967173.720494,-72,True
1641967173.8284657,-73,True
1641967173.9367926,-72,True
1641967174.0463905,-68,True
1641967174.1522799,-73,True
1641967174.3647969,-73,True
1641967174.474436,-72,True
1641967174.5852222,-68,True
1641967174.906119,-67,True
1641967175.0107455,-70,True
1641967175.117367,-68,True
1641967175.221889,-70,True
1641967175.327311,-65,True
1641967175.4343452,-66,True
1641967175.5401928,-64,True
1641967175.6444252,-68,True
1641967175.7503376,-65,True
1641967175.9691105,-67,True
1641967176.0750732,-66,True
1641967176.287403,-68,True
1641967176.395665,-70,True
1641967176.506619,-67,True
1641967176.6161346,-72,True
