index,time,uuid,rssi
0,1627789578.3076646,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
1,1627789578.4411497,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
2,1627789578.581387,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
3,1627789578.720472,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
4,1627789578.8548965,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
5,1627789578.9880064,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
6,1627789579.1201377,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
7,1627789579.2554533,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
8,1627789579.3913875,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
9,1627789579.519912,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
10,1627789579.6588674,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
11,1627789580.0667179,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
12,1627789580.3367019,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
13,1627789580.470126,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
14,1627789580.60114,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
15,1627789580.741381,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
16,1627789581.0088649,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
17,1627789581.1479733,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
18,1627789581.4179468,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
19,1627789581.5573804,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
20,1627789581.6904476,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
21,1627789581.8248906,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
22,1627789581.9579525,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
23,1627789582.0973976,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
24,1627789582.3686388,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
25,1627789582.5004587,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
26,1627789582.6348927,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
27,1627789582.7654436,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
28,1627789582.8976865,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
29,1627789583.026248,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
30,1627789583.1579604,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
31,1627789583.2888644,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
32,1627789583.4266837,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
33,1627789583.699194,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
34,1627789583.838631,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
35,1627789583.9751945,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
36,1627789584.10865,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
37,1627789584.2463713,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
38,1627789584.382365,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
39,1627789584.517635,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
40,1627789584.6567576,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
41,1627789584.7901073,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
42,1627789584.921141,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
43,1627789585.0576308,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
44,1627789585.1954367,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
45,1627789585.3288739,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
46,1627789585.467956,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
47,1627789585.7417252,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
48,1627789586.0129948,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
49,1627789586.1461782,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
50,1627789586.286388,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
51,1627789586.561364,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
52,1627789586.689898,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
53,1627789586.827624,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
54,1627789586.9562323,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
55,1627789587.0904524,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
56,1627789587.363002,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
57,1627789587.4973826,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
58,1627789587.6291926,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
59,1627789587.761373,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
60,1627789587.9005055,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
61,1627789588.1730008,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
62,1627789588.4354703,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
63,1627789588.566389,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
64,1627789588.6999097,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
65,1627789588.8317373,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
66,1627789588.9712214,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
67,1627789589.1114037,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
68,1627789589.2479696,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
69,1627789589.387408,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
70,1627789589.5263803,80b970d7-6e39-45a6-81c9-9a312d21e009,-68
71,1627789589.6548965,80b970d7-6e39-45a6-81c9-9a312d21e009,-69
72,1627789589.7929986,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
73,1627789589.9311996,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
74,1627789590.068893,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
75,1627789590.2011442,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
76,1627789590.3376427,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
77,1627789590.4674149,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
78,1627789590.6051424,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
79,1627789590.7423322,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
80,1627789590.8801534,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
81,1627789591.0192175,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
82,1627789591.1524508,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
83,1627789591.2811615,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
84,1627789591.4151354,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
85,1627789591.5511575,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
86,1627789591.6924603,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
87,1627789591.826713,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
88,1627789592.1029973,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
89,1627789592.2423372,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
90,1627789592.3824618,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
91,1627789592.5179846,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
92,1627789592.6488826,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
93,1627789592.7823315,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
94,1627789592.922466,80b970d7-6e39-45a6-81c9-9a312d21e009,-63
95,1627789593.052333,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
96,1627789593.1876528,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
97,1627789593.4624698,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
98,1627789593.5954623,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
99,1627789593.8751602,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
100,1627789594.1501555,80b970d7-6e39-45a6-81c9-9a312d21e009,-63
101,1627789594.2892041,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
102,1627789594.5629914,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
103,1627789594.7011554,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
104,1627789594.8363578,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
105,1627789594.9661503,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
106,1627789595.1075623,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
107,1627789595.37505,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
108,1627789595.5086462,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
109,1627789595.6451178,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
110,1627789595.7761693,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
111,1627789595.9079416,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
112,1627789596.042438,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
113,1627789596.3101907,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
114,1627789596.4399056,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
115,1627789596.5750594,80b970d7-6e39-45a6-81c9-9a312d21e009,-63
116,1627789596.8366807,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
117,1627789597.1054218,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
118,1627789597.2400403,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
119,1627789597.376673,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
120,1627789597.5087812,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
121,1627789597.642372,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
122,1627789597.7762642,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
123,1627789597.9086733,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
124,1627789598.0404277,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
125,1627789598.17496,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
126,1627789598.306684,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
127,1627789598.4375417,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
128,1627789598.5711706,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
129,1627789598.710067,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
130,1627789598.9776084,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
131,1627789599.2462964,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
132,1627789599.3774161,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
133,1627789599.5129747,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
134,1627789599.6499262,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
135,1627789599.7875683,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
136,1627789599.917419,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
137,1627789600.0575573,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
138,1627789600.3263054,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
139,1627789600.4599137,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
140,1627789600.597553,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
141,1627789600.7274213,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
142,1627789600.8592021,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
143,1627789601.1317117,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
144,1627789601.2698977,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
145,1627789601.407555,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
146,1627789601.536199,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
147,1627789601.6717029,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
148,1627789601.802463,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
149,1627789601.9354415,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
150,1627789602.0713024,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
151,1627789602.1998994,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
152,1627789602.3316865,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
153,1627789602.4711614,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
154,1627789602.6087978,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
155,1627789603.0217004,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
156,1627789603.154907,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
157,1627789603.2904258,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
158,1627789603.429905,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
159,1627789603.561678,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
160,1627789603.6986558,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
161,1627789603.8292232,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
162,1627789603.9624455,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
163,1627789604.0924163,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
164,1627789604.2250493,80b970d7-6e39-45a6-81c9-9a312d21e009,-63
165,1627789604.3561969,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
166,1627789604.49297,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
167,1627789604.6249344,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
168,1627789604.7650476,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
169,1627789604.9011872,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
170,1627789605.0413086,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
171,1627789605.17919,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
172,1627789605.3124318,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
173,1627789605.4423635,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
174,1627789605.582437,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
175,1627789605.719181,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
176,1627789605.8561962,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
177,1627789605.9975517,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
178,1627789606.131172,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
179,1627789606.2712898,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
180,1627789606.407931,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
181,1627789606.5474834,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
182,1627789606.6791909,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
183,1627789606.8186908,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
184,1627789606.957546,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
185,1627789607.0886946,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
186,1627789607.2191951,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
187,1627789607.3561976,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
188,1627789607.4975822,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
189,1627789607.6274238,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
190,1627789607.7616909,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
191,1627789608.2967093,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
192,1627789608.4361973,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
193,1627789608.576311,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
194,1627789608.7111764,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
195,1627789608.84881,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
196,1627789608.9867601,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
197,1627789609.124939,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
198,1627789609.2554498,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
199,1627789609.3913162,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
200,1627789609.5304952,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
201,1627789609.7992258,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
202,1627789609.9349525,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
203,1627789610.0717092,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
204,1627789610.208699,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
205,1627789610.3392236,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
206,1627789610.4724858,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
207,1627789610.601174,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
208,1627789610.7317317,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
209,1627789611.001718,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
210,1627789611.1324894,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
211,1627789611.401342,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
