time,rssi,isTag
1641965518.6001778,-62,True
1641965518.7057064,-77,True
1641965518.8101263,-63,True
1641965518.9186544,-64,True
1641965519.0240078,-63,True
1641965519.128737,-68,True
1641965519.2365847,-67,True
1641965519.3413687,-69,True
1641965519.4523325,-66,True
1641965519.55625,-70,True
1641965519.6624813,-67,True
1641965519.7705264,-62,True
1641965519.985676,-66,True
1641965520.09052,-74,True
1641965520.198985,-61,True
1641965520.3056235,-69,True
1641965520.4140553,-61,True
1641965520.520938,-71,True
1641965520.6307776,-78,True
1641965520.736058,-71,True
1641965520.840809,-76,True
1641965521.054739,-71,True
1641965521.1657064,-60,True
1641965521.2724242,-65,True
1641965521.3784466,-59,True
1641965521.482647,-64,True
1641965521.5912313,-69,True
1641965521.6965008,-64,True
1641965521.8013055,-69,True
1641965521.9078994,-65,True
1641965522.1178458,-66,True
1641965522.2227626,-73,True
1641965522.3323991,-62,True
1641965522.436564,-73,True
1641965522.5436816,-62,True
1641965522.6477144,-74,True
1641965522.7574656,-62,True
1641965522.8618684,-65,True
1641965522.967658,-61,True
1641965523.0720325,-66,True
1641965523.1805956,-73,True
1641965523.2915986,-61,True
1641965523.3979068,-72,True
1641965523.5041397,-61,True
1641965523.8235564,-67,True
1641965523.9308,-74,True
1641965524.040532,-62,True
1641965524.2569087,-62,True
1641965524.3638692,-66,True
1641965524.4694688,-62,True
1641965524.5737853,-66,True
1641965524.6823697,-73,True
1641965524.792078,-63,True
1641965524.8962445,-73,True
1641965525.0046716,-62,True
1641965525.1140122,-66,True
1641965525.2226188,-73,True
1641965525.3279846,-67,True
1641965525.4364676,-73,True
1641965525.5436826,-62,True
1641965529.7215338,-63,True
1641965529.8295293,-65,True
1641965529.9343584,-70,True
1641965530.0426238,-62,True
1641965530.1504426,-69,True
1641965530.2565234,-62,True
1641965530.364775,-64,True
1641965530.4704645,-62,True
1641965530.5787086,-64,True
1641965530.684576,-69,True
1641965530.7913687,-64,True
1641965531.004265,-62,True
1641965531.1138895,-65,True
1641965531.2193894,-62,True
1641965531.3239257,-66,True
1641965531.5377402,-65,True
1641965531.751592,-65,True
1641965531.8574178,-71,True
1641965531.9633899,-62,True
1641965532.0675569,-70,True
1641965532.1772199,-62,True
1641965532.2812366,-69,True
1641965532.3897886,-62,True
1641965532.4955885,-65,True
1641965532.6025906,-61,True
1641965532.708214,-66,True
1641965532.8178835,-71,True
1641965532.9274933,-61,True
1641965533.035782,-65,True
1641965533.141469,-62,True
1641965533.2471302,-65,True
1641965533.3567889,-70,True
1641965533.46519,-61,True
1641965533.569376,-72,True
1641965533.675273,-60,True
1641965533.7794712,-72,True
1641965533.8866286,-60,True
1641965534.214291,-61,True
1641965534.3185422,-72,True
1641965534.4244094,-61,True
1641965539.7342513,-66,True
1641965539.9497323,-62,True
1641965540.0569084,-67,True
1641965540.1623049,-64,True
1641965540.2682283,-66,True
1641965540.3736563,-61,True
1641965540.4785702,-67,True
1641965540.5852199,-63,True
1641965540.6935532,-66,True
1641965540.7981644,-74,True
1641965540.9036298,-66,True
1641965541.0094657,-74,True
1641965541.1149795,-67,True
1641965541.2220364,-74,True
1641965541.441345,-65,True
1641965541.6527317,-67,True
1641965541.7573254,-71,True
1641965541.8682947,-62,True
1641965541.972409,-75,True
1641965542.078254,-64,True
1641965542.1823974,-77,True
1641965542.2897072,-61,True
1641965542.3979683,-67,True
1641965542.50759,-71,True
1641965542.6131814,-65,True
1641965542.7175393,-72,True
1641965542.824411,-64,True
1641965542.9302382,-72,True
1641965543.1451228,-71,True
1641965543.2549443,-62,True
1641965543.359637,-65,True
1641965543.464831,-62,True
1641965543.5720916,-66,True
1641965543.678037,-71,True
1641965543.8916528,-70,True
1641965543.9989433,-61,True
1641965544.1053972,-71,True
1641965544.2139587,-61,True
1641965544.3186803,-65,True
1641965544.5286272,-65,True
1641965544.6342912,-62,True
1641965544.7425086,-66,True
1641965544.8495862,-72,True
1641965544.9549987,-65,True
1641965545.0622346,-71,True
1641965545.171786,-62,True
1641965545.2802749,-65,True
1641965545.495286,-65,True
1641965545.5998263,-73,True
1641965550.0109324,-67,True
1641965550.2235034,-68,True
1641965550.3318815,-60,True
1641965550.4363377,-67,True
1641965550.5421388,-61,True
1641965550.7546773,-62,True
1641965550.8606718,-64,True
1641965551.0745177,-65,True
1641965551.1802223,-68,True
1641965551.288262,-66,True
1641965551.39536,-69,True
1641965551.503662,-62,True
1641965551.6109192,-65,True
1641965551.717501,-62,True
1641965551.8221414,-65,True
1641965551.9305441,-68,True
1641965552.04143,-61,True
1641965552.1511614,-65,True
1641965552.3648503,-65,True
1641965552.4733377,-68,True
1641965552.5828607,-60,True
1641965552.7977526,-60,True
1641965552.9075835,-65,True
1641965553.017204,-68,True
1641965553.1254733,-60,True
1641965553.2326753,-65,True
1641965553.3394842,-59,True
1641965553.4478147,-65,True
1641965553.5549424,-68,True
1641965553.7673686,-68,True
1641965553.9828618,-65,True
1641965554.0925732,-68,True
1641965554.197953,-64,True
1641965554.3037794,-67,True
1641965554.4120696,-61,True
1641965554.5177348,-68,True
1641965554.6271415,-60,True
1641965557.7297683,-67,True
1641965557.8380902,-59,True
1641965557.9428763,-64,True
1641965558.0481713,-59,True
1641965558.1578205,-66,True
1641965558.2638109,-71,True
1641965558.369326,-63,True
1641965558.475064,-69,True
1641965558.5844913,-60,True
1641965558.6889343,-73,True
1641965558.797063,-59,True
1641965559.010981,-60,True
1641965559.1155536,-70,True
1641965559.221026,-61,True
1641965559.3257823,-70,True
1641965559.4353316,-85,True
1641965559.5449932,-62,True
1641965559.6491256,-88,True
1641965559.7548592,-62,True
1641965559.8591552,-83,True
1641965559.9649637,-62,True
1641965560.1775463,-61,True
1641965560.2859576,-70,True
1641965560.6106284,-75,True
1641965560.716338,-63,True
1641965560.823623,-66,True
1641965561.041304,-64,True
1641965561.1495562,-67,True
1641965561.2553024,-61,True
1641965561.3652291,-64,True
1641965561.5813289,-62,True
1641965561.6897798,-67,True
1641965561.7955132,-61,True
1641965561.9042392,-63,True
1641965562.0093598,-61,True
1641965562.1180053,-64,True
1641965562.2261918,-66,True
1641965562.3315153,-64,True
1641965562.4400415,-68,True
1641965562.5457964,-61,True
1641965562.6525316,-68,True
1641965562.7608335,-64,True
1641965562.869496,-68,True
1641965562.9739225,-70,True
1641965563.0808184,-72,True
1641965563.186422,-75,True
1641965563.3978415,-66,True
1641965563.6115806,-68,True
1641965568.772687,-76,True
1641965568.878802,-62,True
1641965569.0925477,-62,True
1641965569.3105109,-75,True
1641965569.5230503,-76,True
1641965569.6326656,-62,True
1641965570.058256,-74,True
1641965570.1665683,-59,True
1641965570.2719443,-74,True
1641965570.483297,-72,True
1641965570.5929298,-59,True
1641965570.7026937,-75,True
1641965570.8121023,-69,True
1641965570.9205031,-61,True
1641965571.1331494,-63,True
1641965571.3445027,-63,True
1641965571.5561268,-77,True
1641965571.6641393,-72,True
1641965571.7736504,-73,True
1641965571.8833094,-63,True
1641965572.09878,-75,True
1641965572.3126073,-73,True
1641965572.4209561,-64,True
1641965572.530721,-70,True
1641965572.7420542,-67,True
1641965572.851576,-70,True
1641965572.9610815,-63,True
1641965573.070826,-68,True
1641965573.177751,-70,True
1641965573.2845623,-68,True
1641965573.3891125,-73,True
1641965573.4946136,-71,True
1641965573.6016169,-78,True
1641965573.7088346,-63,True
1641965573.8141844,-81,True
1641965573.9226055,-61,True
1641965574.1405978,-78,True
1641965574.2489388,-62,True
1641965574.4616082,-61,True
1641965574.5699837,-74,True
1641965574.6794202,-73,True
1641965574.7850711,-71,True
1641965574.8945646,-72,True
1641965575.004231,-64,True
1641965575.1089065,-67,True
1641965575.2143238,-65,True
1641965575.3228445,-68,True
1641965575.430944,-74,True
1641965575.5392978,-63,True
1641965575.6434264,-75,True
1641965580.7146196,-70,True
1641965580.8230708,-62,True
1641965580.9273157,-70,True
1641965581.0331807,-62,True
1641965581.1361508,-70,True
1641965581.2444992,-63,True
1641965581.35051,-69,True
1641965581.5666904,-70,True
1641965581.6737328,-73,True
1641965581.781039,-64,True
1641965581.8850243,-78,True
1641965581.996076,-61,True
1641965582.1019816,-67,True
1641965582.425237,-74,True
1641965582.5311096,-61,True
1641965582.6379068,-74,True
1641965582.7450135,-61,True
1641965582.849752,-70,True
1641965583.0670385,-68,True
1641965583.1730626,-79,True
1641965583.2813585,-61,True
1641965583.389902,-68,True
1641965583.604905,-62,True
1641965583.7106745,-70,True
1641965583.8161378,-61,True
1641965583.9218616,-69,True
1641965584.0303168,-59,True
1641965584.1369693,-70,True
1641965584.2428718,-60,True
1641965584.4553976,-60,True
1641965584.5612826,-65,True
1641965584.7739422,-71,True
1641965584.9840028,-68,True
1641965585.200587,-61,True
1641965585.305859,-69,True
1641965585.4155796,-62,True
1641965585.6282883,-60,True
1641965587.8527775,-69,True
1641965588.062765,-70,True
1641965588.1725926,-60,True
1641965588.2809641,-70,True
1641965588.386344,-60,True
1641965588.4935722,-68,True
1641965588.6031,-70,True
1641965588.8193047,-71,True
1641965588.92531,-61,True
1641965589.0324497,-70,True
1641965589.139137,-61,True
1641965589.3490813,-61,True
1641965589.4540994,-72,True
1641965589.5619469,-69,True
1641965589.7745337,-69,True
1641965589.9883606,-70,True
1641965590.0980856,-60,True
1641965590.2027593,-71,True
1641965590.3093753,-60,True
1641965590.4140341,-69,True
1641965590.6266363,-70,True
1641965590.9485905,-69,True
1641965591.057104,-61,True
1641965591.1653967,-69,True
1641965591.2723498,-69,True
1641965591.594672,-60,True
1641965591.7000606,-71,True
1641965591.809637,-60,True
1641965591.916837,-70,True
1641965592.0225942,-70,True
1641965592.1282032,-71,True
1641965592.2337968,-70,True
1641965592.3393912,-71,True
1641965592.4439452,-71,True
1641965592.5536048,-60,True
1641965592.6602428,-71,True
1641965596.7606144,-61,True
1641965596.8654046,-70,True
1641965596.9707575,-61,True
1641965597.075322,-71,True
1641965597.287863,-72,True
1641965597.396327,-70,True
1641965597.6062946,-69,True
1641965597.7135909,-60,True
1641965597.9286816,-60,True
1641965598.034688,-70,True
1641965598.245821,-54,True
1641965598.351313,-60,True
1641965598.4571526,-71,True
1641965598.565286,-71,True
1641965598.673869,-60,True
1641965598.7804294,-71,True
1641965598.888927,-60,True
1641965598.9947748,-72,True
1641965599.1042507,-71,True
1641965599.2099571,-71,True
1641965599.3181565,-72,True
1641965599.4239538,-61,True
1641965599.5281043,-72,True
1641965599.6353743,-60,True
1641965599.9550436,-71,True
1641965600.1712828,-72,True
1641965600.279369,-72,True
1641965600.385363,-62,True
1641965600.4921255,-69,True
1641965600.71023,-72,True
1641965600.8157408,-71,True
1641965600.9213548,-71,True
1641965601.025788,-70,True
1641965601.1320145,-72,True
1641965601.235841,-70,True
1641965601.3456457,-61,True
1641965601.4522152,-71,True
1641965601.5594568,-61,True
1641965601.666654,-72,True
1641965603.8125498,-61,True
1641965603.9171963,-70,True
1641965604.0226846,-61,True
1641965604.1309948,-71,True
1641965604.2390423,-71,True
1641965604.3476999,-62,True
1641965604.4516282,-69,True
1641965604.5614588,-60,True
1641965604.669774,-72,True
1641965604.7766602,-71,True
1641965604.8853328,-61,True
1641965604.9893665,-70,True
1641965605.0966275,-62,True
1641965605.2005455,-70,True
1641965605.3105574,-60,True
1641965605.4149714,-71,True
1641965605.5216897,-59,True
1641965605.6287813,-71,True
1641965605.7369137,-70,True
1641965605.9494264,-69,True
1641965606.0582867,-60,True
1641965606.166411,-69,True
1641965606.3826475,-69,True
1641965606.492195,-71,True
1641965606.6019812,-59,True
1641965606.7102706,-71,True
1641965606.920328,-70,True
1641965607.2422986,-71,True
1641965607.3510287,-60,True
1641965607.456801,-69,True
1641965607.672904,-71,True
1641965607.7811334,-70,True
1641965607.888596,-61,True
1641965607.9968874,-71,True
1641965608.1022928,-60,True
1641965608.206961,-70,True
1641965608.3123221,-60,True
1641965608.4170017,-71,True
1641965608.6307285,-71,True
1641965612.919185,-73,True
1641965613.0245671,-61,True
1641965613.1291864,-72,True
1641965613.449947,-72,True
1641965613.6611738,-71,True
1641965613.7699213,-62,True
1641965613.876826,-72,True
1641965613.9848647,-61,True
1641965614.0893455,-73,True
1641965614.304388,-74,True
1641965614.4101565,-71,True
1641965614.518663,-62,True
1641965614.6252532,-71,True
1641965614.7326264,-62,True
1641965614.8409061,-71,True
1641965614.948958,-70,True
1641965615.058954,-61,True
1641965615.1640732,-70,True
1641965615.2740119,-60,True
1641965615.3785212,-74,True
1641965615.591018,-72,True
1641965615.8047628,-72,True
1641965615.9117959,-70,True
1641965616.0177867,-61,True
1641965616.1216798,-70,True
1641965616.2303321,-60,True
1641965616.3385482,-72,True
1641965616.444135,-60,True
1641965616.55243,-71,True
1641965616.7637575,-72,True
1641965616.8718638,-71,True
1641965616.9817162,-60,True
1641965617.0887787,-74,True
1641965617.1943295,-59,True
1641965617.301331,-74,True
1641965617.4083142,-72,True
1641965617.6208467,-72,True
1641965617.7318661,-44,True
