index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188995.0000544,-43
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188995.2842805,-45
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188995.5702443,-44
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188995.8580003,-46
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188996.141547,-45
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188996.4279385,-47
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188997.0006607,-46
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188997.287283,-39
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188997.5752385,-44
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188997.8667898,-45
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188998.1548817,-44
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188998.4405992,-46
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188998.7310424,-44
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188999.3010116,-44
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188999.5865247,-44
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632188999.8710287,-41
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189000.1531808,-45
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189000.4327793,-45
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189000.7193038,-45
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189001.006065,-38
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189001.2906075,-44
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189001.5748456,-42
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189001.8580644,-46
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189002.1427693,-42
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189002.4316275,-46
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189002.7114234,-43
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189003.2897766,-44
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189003.5716531,-45
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189003.8526719,-45
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189004.139125,-44
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189004.4201536,-43
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189004.7079067,-46
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189004.997276,-39
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189005.2864377,-45
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189005.5791633,-44
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189005.8687263,-39
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189006.1564171,-42
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189006.4412532,-43
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189006.7314384,-45
39,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189007.0204372,-44
40,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189007.3112075,-44
41,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189007.5989525,-43
42,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189007.8904507,-44
43,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189008.176071,-44
44,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189008.4604588,-46
45,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189008.751086,-43
46,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189009.3222585,-39
47,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189009.892285,-43
48,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189010.178931,-45
49,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189010.7464368,-43
50,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189010.9546838,-64
