index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189895.0879593,-46
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189895.375212,-44
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189895.6582682,-44
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189895.9453943,-40
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189896.2319865,-44
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189896.5200434,-38
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189897.0924847,-43
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189897.3804946,-39
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189897.6624703,-43
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189897.952911,-42
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189898.2361958,-42
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189898.8012629,-38
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189899.3794947,-45
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189899.6699655,-41
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189899.9592676,-42
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189900.2449796,-43
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189900.8161998,-43
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189901.1052868,-41
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189901.3895059,-48
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189901.675476,-44
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189901.967151,-46
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189902.5370362,-47
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189902.8281097,-44
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189903.1167321,-44
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189903.4070148,-45
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189903.6899757,-43
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189903.9790921,-40
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189904.269324,-45
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189904.5553937,-43
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189904.847059,-45
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189905.1362047,-38
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189905.4266806,-43
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189905.711875,-45
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189905.9941335,-42
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189906.2793653,-48
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189906.5690222,-43
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189906.8518798,-46
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189907.132922,-39
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189907.41518,-38
39,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189907.6991632,-44
40,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189907.9918892,-46
41,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189908.274197,-40
42,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189908.5656939,-45
43,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189908.8527424,-43
44,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189909.1429453,-39
45,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189909.4294465,-46
46,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189909.718865,-42
47,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189910.299422,-46
48,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189910.5793538,-44
49,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189910.8662748,-43
50,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189911.0175369,-61
