index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300912.339652,-42
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300912.4646971,-42
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300912.595288,-41
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300913.2504156,-41
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300913.5037937,-40
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300913.8841114,-42
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300914.0162306,-39
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300914.2802458,-39
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300914.4097986,-42
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300914.5415223,-42
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300914.6714785,-37
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300914.7951381,-38
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300914.9258857,-42
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300915.0600777,-39
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300915.1910372,-42
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300915.3201718,-42
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300915.4500637,-38
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300915.6984954,-43
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300915.8303256,-42
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300915.9598336,-37
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300916.3500834,-38
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300916.4811246,-42
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300916.6046157,-43
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300916.7316687,-42
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300916.8648248,-40
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300916.9907575,-43
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300917.1187897,-42
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300917.2451868,-42
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300917.5056467,-43
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300917.635455,-42
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.0312614,-38
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.1561093,-39
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.2822998,-42
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.4045756,-43
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.5367467,-41
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.6597533,-39
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.788272,-43
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300918.913347,-42
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300919.0426598,-42
39,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300919.1664474,-41
40,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300919.429039,-41
41,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300919.5540254,-41
42,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300919.6824076,-39
43,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300919.9323263,-42
44,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300920.0571954,-43
45,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300920.181699,-42
46,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300920.3097644,-34
47,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300920.4395578,-42
48,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300920.569958,-41
49,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300920.7021294,-38
50,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632300920.8084197,-39
