index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189574.9542205,-47
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189575.2436347,-43
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189575.529456,-47
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189575.817491,-38
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189576.3873067,-43
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189576.957389,-43
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189577.2407432,-45
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189577.5298862,-43
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189577.8131125,-44
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189578.1058288,-46
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189578.680739,-44
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189579.2446594,-44
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189579.5337105,-43
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189579.8207192,-46
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189580.103733,-38
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189580.3871381,-44
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189580.668051,-44
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189580.9596992,-45
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189581.2402072,-44
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189581.524339,-47
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189581.8043084,-42
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189582.091173,-42
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189582.3743026,-38
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189582.65737,-42
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189582.9443097,-41
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189583.2274053,-38
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189583.5168262,-44
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189583.8083029,-45
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189584.663679,-42
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189584.9458406,-44
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189585.2362854,-42
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189585.8099184,-42
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189586.3761666,-42
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189586.6669173,-43
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189586.9583316,-46
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189587.2449005,-38
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189587.5283685,-45
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189587.8186839,-38
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189588.1007192,-45
39,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189588.3886569,-43
40,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189588.6731138,-44
41,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189588.9599233,-43
42,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189589.2493691,-43
43,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189589.8287067,-41
44,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189590.1131074,-44
45,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189590.4033551,-47
46,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189590.6906056,-40
47,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189590.9796095,-45
48,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189591.2649875,-44
49,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189591.554507,-42
50,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189591.7714474,-60
