index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189457.8548179,-43
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189458.1405442,-39
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189458.4312289,-46
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189458.7170231,-43
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189458.9989457,-43
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189459.2859583,-44
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189459.8532813,-39
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189460.137713,-43
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189460.711065,-48
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189460.993275,-38
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189461.275103,-41
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189461.5633101,-45
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189461.848918,-42
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189462.1358218,-43
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189462.418954,-42
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189462.7009249,-38
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189462.9935489,-45
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189463.2781937,-38
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189463.563594,-44
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189463.8470657,-44
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189464.1310422,-46
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189464.4145565,-43
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189464.7048364,-46
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189464.984596,-39
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189465.2710848,-46
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189465.5571406,-41
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189465.842354,-45
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189466.1283484,-38
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189466.7123525,-46
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189466.9971547,-39
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189467.278937,-42
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189467.5646489,-44
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189467.8548737,-45
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189468.428461,-44
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189468.715213,-38
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189469.0033915,-40
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189469.2948704,-45
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189469.5747116,-42
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189469.8577223,-41
39,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189470.425219,-38
40,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189470.7109056,-39
41,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189470.9977136,-43
42,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189471.2847185,-44
43,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189471.5677814,-38
44,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189471.8571682,-39
45,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189472.1484668,-46
46,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189472.4339743,-40
47,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189472.7185743,-44
48,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189473.009021,-44
49,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189473.2934117,-38
50,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632189473.4123943,-66
