index,time,uuid,rssi
0,1627789419.9064276,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
1,1627789420.0413747,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
2,1627789420.180162,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
3,1627789420.310163,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
4,1627789420.4513946,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
5,1627789420.5871642,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
6,1627789420.7227185,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
7,1627789420.8620734,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
8,1627789420.992685,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
9,1627789421.1225698,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
10,1627789421.2626717,80b970d7-6e39-45a6-81c9-9a312d21e009,-64
11,1627789421.3913586,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
12,1627789421.530143,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
13,1627789421.6601076,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
14,1627789421.8013976,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
15,1627789421.9396584,80b970d7-6e39-45a6-81c9-9a312d21e009,-60
16,1627789422.0764008,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
17,1627789422.2163832,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
18,1627789422.3513598,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
19,1627789422.4851596,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
20,1627789422.615129,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
21,1627789422.7509167,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
22,1627789422.887637,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
23,1627789423.022094,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
24,1627789423.1588774,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
25,1627789423.2976668,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
26,1627789423.42891,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
27,1627789423.6976514,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
28,1627789423.8320975,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
29,1627789423.9651642,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
30,1627789424.106413,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
31,1627789424.242596,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
32,1627789424.376412,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
33,1627789424.5101428,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
34,1627789424.6501563,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
35,1627789424.7884016,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
36,1627789424.9276257,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
37,1627789425.0663903,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
38,1627789425.2059464,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
39,1627789425.3363984,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
40,1627789425.4676194,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
41,1627789425.6088889,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
42,1627789425.7388828,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
43,1627789425.880245,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
44,1627789426.0088797,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
45,1627789426.1451464,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
46,1627789426.28259,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
47,1627789426.551381,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
48,1627789426.6820757,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
49,1627789426.8163733,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
50,1627789426.9508946,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
51,1627789427.090119,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
52,1627789427.2276542,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
53,1627789427.3601117,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
54,1627789427.5014017,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
55,1627789427.640894,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
56,1627789427.9109273,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
57,1627789428.050119,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
58,1627789428.1901572,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
59,1627789428.3296435,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
60,1627789428.4651387,80b970d7-6e39-45a6-81c9-9a312d21e009,-67
61,1627789428.5959032,80b970d7-6e39-45a6-81c9-9a312d21e009,-62
62,1627789428.7350373,80b970d7-6e39-45a6-81c9-9a312d21e009,-65
63,1627789428.8659241,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
64,1627789429.0001874,80b970d7-6e39-45a6-81c9-9a312d21e009,-66
65,1627789429.1395698,80b970d7-6e39-45a6-81c9-9a312d21e009,-61
