index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278803.8718336,-38
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278804.1620595,-40
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278804.4502308,-37
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278804.7345676,-40
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278805.0227427,-37
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278805.3093426,-38
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278805.5983353,-36
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278805.8843338,-37
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278806.1733243,-40
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278806.4614973,-38
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278806.749336,-38
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278807.0420697,-40
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278807.3302586,-37
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278807.6121025,-35
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278807.899014,-37
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278808.1893544,-38
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278808.472771,-37
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278808.759354,-38
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278809.049631,-36
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278809.3403533,-33
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278809.6271555,-35
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278810.2090385,-32
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278810.4933527,-37
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278810.7731252,-38
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278811.354064,-37
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278811.6372135,-35
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278811.9215727,-37
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632278812.2058945,-40
