index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295273.11593,-35
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295273.4026513,-36
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295273.6846578,-40
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295273.9751372,-36
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295274.2655826,-36
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295274.5583937,-36
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295274.846379,-37
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295275.130933,-36
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295275.4188726,-37
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295275.9851282,-37
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295276.2755744,-38
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295276.8551242,-37
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295277.1454992,-38
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295277.4333885,-35
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295277.7226083,-37
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295278.0109324,-41
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295278.2906296,-37
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295278.5745199,-40
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295278.857997,-38
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295279.1495624,-35
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295279.4326172,-36
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295279.718223,-36
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295280.0076206,-35
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295280.2895422,-35
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295280.5706172,-37
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295280.8544981,-35
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295281.1355734,-38
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295281.4257507,-40
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295281.7055178,-38
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295281.996996,-37
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295282.2828264,-37
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295282.5730374,-38
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295282.8644974,-39
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295283.1492834,-38
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295283.4408019,-40
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295284.016756,-38
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295284.3032448,-36
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295284.5880072,-37
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295284.8757372,-36
39,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295285.162667,-36
40,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295285.4482453,-35
41,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295285.7352064,-37
42,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295286.8845048,-41
43,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295287.1667538,-39
44,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295287.455732,-36
45,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295287.7367494,-37
46,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295288.0200722,-38
47,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295288.31055,-40
48,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295288.5969968,-36
49,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295288.8876915,-38
50,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295289.1755183,-38
51,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295289.4671452,-35
52,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295289.756441,-36
53,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295290.0442653,-38
54,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295291.1905708,-38
55,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295292.0542626,-37
56,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295292.3389258,-37
57,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295292.6267538,-38
58,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295292.9157388,-35
59,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295293.1992502,-38
60,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295293.4895084,-35
61,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295293.7776713,-36
62,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295294.0680153,-38
63,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295294.3500235,-37
64,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295294.6380277,-37
65,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295294.9244432,-40
66,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295295.2139564,-37
67,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295295.7839491,-37
68,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295296.070825,-40
69,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295296.3527007,-37
70,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295296.6356983,-35
71,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295296.9227026,-37
72,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295297.500012,-37
73,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295297.7892604,-37
74,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295298.0807998,-40
75,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295298.3689444,-37
76,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295298.9351883,-37
77,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295299.2194698,-36
78,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295299.510019,-37
79,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295299.798014,-38
80,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295300.0844285,-38
81,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295300.3738742,-34
82,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295300.6630142,-38
83,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295300.9476185,-37
84,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295301.2367947,-35
85,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295301.5294867,-39
86,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295301.815148,-37
87,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295302.3889656,-37
88,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295302.6780233,-37
89,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632295303.5239863,-36
