index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302200.7067053,-36
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302200.8318367,-36
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302200.962537,-40
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.0897102,-37
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.2194498,-36
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.351756,-41
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.479907,-37
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.6037548,-37
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.7310662,-41
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.8651984,-33
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302201.9913602,-37
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302202.1221526,-36
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302202.2549307,-31
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302202.5121195,-50
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302202.6380062,-41
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302202.7711391,-38
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302202.8997927,-37
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302203.0307305,-41
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302203.1562238,-37
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302203.2787201,-37
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302203.4097633,-37
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302203.535815,-41
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302203.6688607,-32
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632302203.7940085,-38
