index,uuid,time,rssi
0,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305013.1206913,-38
1,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305013.4028504,-37
2,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305013.6850417,-37
3,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305013.9668648,-38
4,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305014.2550159,-36
5,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305014.5384445,-38
6,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305015.1105917,-37
7,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305015.3997538,-37
8,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305015.685597,-37
9,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305015.9760137,-38
10,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305016.25557,-35
11,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305016.5421836,-34
12,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305016.8282273,-38
13,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305017.1146145,-38
14,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305017.4014914,-34
15,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305017.6885145,-38
16,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305017.9764671,-36
17,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305018.2643533,-37
18,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305018.5496936,-38
19,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305018.8343751,-37
20,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305019.1245985,-38
21,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305019.4152868,-37
22,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305019.9912455,-38
23,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305020.2815416,-35
24,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305020.5671594,-34
25,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305020.8527853,-34
26,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305021.1418662,-35
27,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305021.4252985,-36
28,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305021.7118733,-37
29,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305021.997706,-34
30,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305022.2881799,-38
31,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305022.5721192,-38
32,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305022.853178,-38
33,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305023.1409366,-38
34,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305023.424423,-37
35,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305023.7146556,-34
36,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305023.9982374,-38
37,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305024.5766428,-37
38,cf3164a0-1c1d-a7fe-f8eb-767156e9154f,1632305024.8632553,-36
